question_type,question,question_hi,option1,option1_hi,option2,option2_hi,option3,option3_hi,option4,option4_hi,correct,marks,negative
mcq,What is mobile device management (MDM) used for?,MDM किसके लिए उपयोग होता है?,Control and secure mobile devices,मोबाइल उपकरणों को नियंत्रित और सुरक्षित करना,Backup mobile photos,मोबाइल फ़ोटो बैकअप,Encrypt SIM,सिम एन्क्रिप्ट,Open Bluetooth,ब्लूटूथ खोलना,1,1,0.25
mcq,What is 'white-listing' in allow/deny models?,Allow/deny मॉडल में 'व्हाइट-लिस्टिंग' क्या है?,Allow only known good,केवल ज्ञात अच्छा अनुमति देना,Block known good,ज्ञात अच्छा ब्लॉक करना,Allow everything,सब कुछ अनुमति देना,Disable security,सुरक्षा अक्षम करना,1,1,0.25
mcq,What is 'black-listing' drawback?,ब्लैक-लिस्टिंग का दोष क्या है?,Cannot cover unknown threats,अज्ञात खतरों को कवर नहीं कर सकता,Perfect protection,पूर्ण सुरक्षा,No maintenance,कोई रखरखाव नहीं,Always secure,हमेशा सुरक्षित,1,1,0.25
mcq,What is secure decommissioning of hardware?,हार्डवेयर का सुरक्षित निष्कासन क्या है?',Wipe or destroy data before disposal,निकासी से पहले डेटा को मिटाना या नष्ट करना,Give device to anyone,डिवाइस किसी को दे देना,Leave drives intact,ड्राइव्स को वैसे ही रखना,Sell without wiping,बिना वाइप किए बेच देना,1,1,0.25
mcq,What is 'pharming' attack?','फार्मिंग' हमला क्या है?',Redirect users to malicious sites,उपयोगकर्ताओं को दुर्भावनापूर्ण साइटों पर री-डायरेक्ट करना,Encrypt DNS,DNS एन्क्रिप्ट करना,Use strong passwords,मजबूत पासवर्ड का उपयोग,Update firmware,फ़र्मवेयर अपडेट,1,1,0.25
mcq,What is 'credential stuffing'?','क्रेडेंशियल स्टफिंग' क्या है?',Using leaked credentials across sites,लीक हुए क्रेडेंशियल्स का कई साइटों पर उपयोग,Encrypt passwords,पासवर्ड एन्क्रिप्ट करना,Create new passwords,नए पासवर्ड बनाना,Patch systems,सिस्टम पैच करना,1,1,0.25
mcq,What is the effect of poor logging practices?,खराब लॉगिंग प्रैक्टिस का प्रभाव क्या है?',Hinder incident investigation,घटना जांच में बाधा,Improve security,सुरक्षा में सुधार,Encrypt data,डेटा एन्क्रिप्ट करना,Reduce disk usage,डिस्क उपयोग कम करना,1,1,0.25
mcq,What is role of log retention policy?,लॉग रिटेंशन पॉलिसी की भूमिका क्या है?',Define how long to keep logs,लॉग रखने की अवधि परिभाषित करना,Delete all logs immediately,सभी लॉग तुरंत हटाना,Compress logs always,हमेशा लॉग संपीड़ित करना,No logging allowed,लॉगिंग की अनुमति नहीं,1,1,0.25
mcq,What is 'ethical hacking'?','एथिकल हैकिंग' क्या है?',Authorized security testing,अनुमोदित सुरक्षा परीक्षण,Illegal intrusion,गैरकानूनी घुसपैठ,Data theft,डेटा चोरी,Malware creation,मैलवेयर निर्माण,1,1,0.25
mcq,What is the purpose of security awareness training?',सुरक्षा जागरूकता प्रशिक्षण का उद्देश्य क्या है?',Educate staff to reduce human risk,मानवीय जोखिम कम करने के लिए स्टाफ को शिक्षित करना,Install patches,पैच इंस्टॉल करना,Configure firewall,फायरवॉल कॉन्फ़िग,Encrypt disks,डिस्क एन्क्रिप्ट,1,1,0.25
mcq,What is the aim of vulnerability disclosure program?,वulnerबिलिटी डिस्क्लोज़र प्रोग्राम का उद्देश्य क्या है?',Encourage reporting of bugs securely,बग्स की सुरक्षित रिपोर्टिंग को प्रोत्साहित करना,Hide vulnerabilities,कमज़ोरियों को छिपाना,Exploit vendors,वेंडर्स का एक्सप्लॉइट करना,Sell data,डेटा बेचना,1,1,0.25
mcq,What is the importance of patch management?,पैच प्रबंधन का महत्व क्या है?',Reduce exposure to known vulnerabilities,ज्ञात कमज़ोरियों के जोखिम को कम करना,Increase downtime,डाउनटाइम बढ़ाना,Delete backups,बैकअप हटाना,Disable logging,लॉगिंग अक्षम करना,1,1,0.25
mcq,What is the best response to a suspected breach?,संदिग्ध उल्लंघन के लिए सर्वोत्तम प्रतिक्रिया क्या है?',Isolate affected systems and investigate,प्रभावित सिस्टम को अलग करें और जांच करें,Ignore it,इसे अनदेखा करें,Reboot all systems,सभी सिस्टम रीबूट करें,Publish data,डेटा प्रकाशित करें,1,1,0.25
mcq,What is the purpose of bug bounty programs?',बग बाउंटी प्रोग्राम का उद्देश्य क्या है?',Reward external researchers for finding bugs,बग खोजने के लिए बाहरी शोधकर्ताओं को इनाम देना,Ignore reports,रिपोर्ट्स की अनदेखी करना,Exploit vulnerabilities,कमज़ोरियों का शोषण करना,Publish exploits,एक्सप्लॉइट प्रकाशित करना,1,1,0.25
mcq,What is 'red team' in security testing?',सुरक्षा परीक्षण में 'रेड टीम' क्या है?',Simulate real-world attackers,वास्तविक दुनिया के हमलावरों की नकल करना,Defend systems,सिस्टम का बचाव करना,Patch servers,सर्वर पैच करना,Monitor logs,लॉग मॉनिटर करना,1,1,0.25
mcq,What is 'blue team' role?','ब्लू टीम' की भूमिका क्या है?',Defend and detect intrusions,घुसपैठ का पता लगाना और बचाव करना,Exploit systems,सिस्टम्स का शोषण करना,Publish patches,पैच प्रकाशित करना,Ignore alerts,अलर्ट्स की अनदेखी करना,1,1,0.25
mcq,What is 'purple team' approach?','पर्पल टीम' दृष्टिकोण क्या है?',Collaborate red and blue teams for improvement,बेहतर बनाने के लिए रेड और ब्लू टीम का सहयोग,Only audit logs,केवल लॉग ऑडिट,Patch only,सिर्फ पैच,Ignore security,सुरक्षा की अनदेखी,1,1,0.25
mcq,What is the principle of segregation of duties?',कार्य विभाजन का सिद्धांत क्या है?',Split critical tasks to prevent misuse,दुरुपयोग रोकने के लिए महत्वपूर्ण कार्य विभाजित करना,One person controls all,एक व्यक्ति सब कुछ नियंत्रित करे,Store all keys openly,सभी कुंजियाँ खुले में रखें,Allow admin everywhere,हर जगह एडमिन की अनुमति,1,1,0.25
